#measure =Hypergeometric coefficient, type = local list,
#primaryId = 0, numberOfFriends = 5
3,3.4011973816621555
5,0.40546510810816444
2,0.1823215567939546
1,0.1267517056391439
4,1.1102230246251565E-16
#primaryId = 1, numberOfFriends = 5
4,1.0986122886681098
2,0.40546510810816444
5,0.1431008436406733
0,0.1267517056391439
3,0.03390155167568134
#primaryId = 2, numberOfFriends = 4
4,1.2321436812926323
5,0.6286086594223742
1,0.40546510810816444
0,0.1823215567939546
#primaryId = 3, numberOfFriends = 2
0,3.4011973816621555
1,0.03390155167568134
#primaryId = 4, numberOfFriends = 4
2,1.2321436812926323
1,1.0986122886681098
5,0.7621400520468967
0,1.1102230246251565E-16
#primaryId = 5, numberOfFriends = 4
4,0.7621400520468967
2,0.6286086594223742
0,0.40546510810816444
1,0.1431008436406733
