#measure = Jaccard, type = global list,
#primaryId = 0, numberOfFriends = 5
3,0.75
1,0.25
5,0.2
2,0.16666666666666666
4,0.1
#primaryId = 1, numberOfFriends = 5
4,0.625
2,0.2857142857142857
0,0.25
5,0.14285714285714285
3,0.125
#primaryId = 2, numberOfFriends = 4
4,0.42857142857142855
1,0.2857142857142857
5,0.25
0,0.16666666666666666
#primaryId = 3, numberOfFriends = 2
0,0.75
1,0.125
#primaryId = 4, numberOfFriends = 4
1,0.625
2,0.42857142857142855
5,0.2857142857142857
0,0.1
#primaryId = 5, numberOfFriends = 4
4,0.2857142857142857
2,0.25
0,0.2
1,0.14285714285714285
