#measure = Z-Score, type = local list,
#primaryId = 0, numberOfFriends = 2
3,0.4643876413619833
5,0.08436685671454805
#primaryId = 1, numberOfFriends = 2
4,0.21836926693220346
2,0.07771028771758715
#primaryId = 2, numberOfFriends = 3
4,0.2182581417573618
5,0.1733740226740229
1,0.07771028771758715
#primaryId = 3, numberOfFriends = 1
0,0.4643876413619833
#primaryId = 4, numberOfFriends = 3
5,0.26638041258905903
1,0.21836926693220346
2,0.2182581417573618
#primaryId = 5, numberOfFriends = 3
4,0.26638041258905903
2,0.1733740226740229
0,0.08436685671454805
